,date,Title,Amount
308,2020-09-03,Gaming,14
309,2020-09-03,People & Blogs,22
310,2020-09-03,Sports,23
311,2020-09-03,Entertainment,35
312,2020-09-03,Music,44
313,2020-09-04,Nonprofits & Activism,1
314,2020-09-04,Pets & Animals,1
315,2020-09-04,Education,5
316,2020-09-04,Autos & Vehicles,6
317,2020-09-04,News & Politics,7
318,2020-09-04,Film & Animation,9
319,2020-09-04,Science & Technology,11
320,2020-09-04,Howto & Style,14
321,2020-09-04,Comedy,15
322,2020-09-04,Sports,17
323,2020-09-04,Gaming,18
324,2020-09-04,People & Blogs,20
325,2020-09-04,Entertainment,30
326,2020-09-04,Music,46
327,2020-09-05,Nonprofits & Activism,1
328,2020-09-05,Pets & Animals,1
329,2020-09-05,Autos & Vehicles,5
330,2020-09-05,Education,5
331,2020-09-05,News & Politics,8
332,2020-09-05,Film & Animation,10
333,2020-09-05,Comedy,13
334,2020-09-05,Science & Technology,14
335,2020-09-05,Gaming,15
336,2020-09-05,Howto & Style,15
337,2020-09-05,Sports,16
338,2020-09-05,People & Blogs,20
339,2020-09-05,Entertainment,31
340,2020-09-05,Music,46
341,2020-09-06,Nonprofits & Activism,1
342,2020-09-06,Pets & Animals,3
343,2020-09-06,Autos & Vehicles,6
344,2020-09-06,Education,6
345,2020-09-06,News & Politics,9
346,2020-09-06,Film & Animation,10
347,2020-09-06,Comedy,11
348,2020-09-06,Science & Technology,12
349,2020-09-06,People & Blogs,14
350,2020-09-06,Howto & Style,15
351,2020-09-06,Sports,16
352,2020-09-06,Gaming,21
353,2020-09-06,Entertainment,30
354,2020-09-06,Music,46
355,2020-09-07,Nonprofits & Activism,1
356,2020-09-07,Travel & Events,1
357,2020-09-07,Education,3
358,2020-09-07,Pets & Animals,3
359,2020-09-07,Autos & Vehicles,6
360,2020-09-07,Film & Animation,9
361,2020-09-07,Comedy,12
362,2020-09-07,News & Politics,12
363,2020-09-07,Howto & Style,14
364,2020-09-07,People & Blogs,15
